Interprete;Codigo;Nome;Trecho;Idioma
Xuxa e José Augusto;3486;QUERER É PODER;Eu posso ir onde eu quiser;BRA
Yahoo;3695;CAMINHOS DO SOL;Sem você a vida pode parecer;BRA
Yahoo;3713;MORDIDA DE AMOR;Quando faz amor se olha no espelho;BRA
Zeca Baleiro;15207;ALMA NOVA;Sempre que te vejo assim linda nua;BRA
Zeca Baleiro;6555;TELEGRAMA;Eu tava triste tristinho mais sem graça que;BRA
Zeca Pagodinho;6404;BAGAÇO DA LARANJA;Fui num pagode acabou a comida acabou a;BRA
Zeca Pagodinho;3356;CADA UM NO SEU CADA UM;Cada um na sua onda;BRA
Zeca Pagodinho;6528;CAVIAR;Você sabe o que é caviar nunca vi nem comi;BRA
Zeca Pagodinho;4307;CORAÇÃO EM DESALINHO;Numa estrada dessa vida eu te conheci;BRA
Zeca Pagodinho;6064;JURA;Jura jura jura pelo Senhor;BRA
Zeca Pagodinho;3387;SAMBA PRA MOÇAS;Incandiá incandiou eu vim pro samba;BRA
Zeca Pagodinho;4417;VAI VADIAR;Eu quis te dar um grande amor;BRA
Zeca Pagodinho;3644;VERDADE;Descobri que te amo demais;BRA
Zeca Pagodinho-Almir Guineto;6017;INSENSATO DESTINO;Ó insensato destino...;BRA
Zélia Duncan;3042;CATEDRAL;O deserto que atravessei;BRA
Zélia Duncan;3585;NOS LENÇÓIS DESSE REGGAE;Flash de viagem vontade de dançar um;BRA
Zé Ramalho;3505;ADMIRÁVEL GADO NOVO;Vocês que fazem parte dessa massa;BRA
Zé Ramalho;6446;AVOHAI;Um velho cruza a soleira de botas longas;BRA
Zé Ramalho;4281;MISTÉRIOS DA MEIA NOITE;Mistérios da meia noite que voam longe;BRA
Zezé Di Camargo e Luciano;6442;A FERRO E FOGO;A ferro e fogo não dá com tanta indiferença;BRA
Zezé Di Camargo e Luciano;3822;A GENTE FICA SEM SE AMAR;Quando acordar de manhã e tomar seu;BRA
Zezé Di Camargo e Luciano;4385;AMOR SELVAGEM;Amor selvagem vejo em seu olhar;BRA
Zezé Di Camargo e Luciano;6004;ANTES DE VOLTAR PRA CASA;Antes de voltar pra casa Diga pro seu;BRA
Zezé Di Camargo e Luciano;3908;CADA VOLTA É UM RECOMEÇO;Mais uma vez, meu coração esquece o que;BRA
Zezé Di Camargo e Luciano;3558;COMO UM ANJO;Como um anjo você apareceu na minha;BRA
Zezé Di Camargo e Luciano;3056;CORAÇÃO ESTÁ EM PEDAÇOS;Hoje eu vim te procurar a saudade;BRA
Zezé Di Camargo e Luciano;3316;CORAÇÃO NA CONTRA MÃO;Te procurei pela casa dei de cara comigo;BRA
Zezé Di Camargo e Luciano;4470;DA BOCA PRA FORA;Pode tudo se perder Posso até enlouquecer;BRA
Zezé Di Camargo e Luciano;3071;É O AMOR;Eu não vou negar que sou louco por você;BRA
Zezé Di Camargo e Luciano;3875;EU SÓ PENSO EM VOCÊ;Maybe I didn't love you;BRA
Zezé Di Camargo e Luciano;3092;EU TE AMO (AND I LOVE HER);Foi tanto que eu te amei;BRA
Zezé Di Camargo e Luciano;15226;EU TÔ NA PISTA, EU TÔ SOLTEIRO;É doce mel azul do céu;BRA
Zezé Di Camargo e Luciano;3566;FOI A PRIMEIRA VEZ;Foi a primeira vez a mais forte talvez;BRA
Zezé Di Camargo e Luciano;3568;INDIFERENÇA;Fala pra mim, diz a verdade;BRA
Zezé Di Camargo e Luciano;4443;MEXE QUE É BOM;Fim de semana de novo eu tô no meio;BRA
Zezé Di Camargo e Luciano;3162;MUDA DE VIDA;Não sei aonde eu ando com a cabeça;BRA
Zezé Di Camargo e Luciano;3581;"NA HORA ""H""";Eu preciso te dizer que ainda te que;BRA
Zezé Di Camargo e Luciano;6426;NEM MAIS UMA DÚVIDA;Quero acabar com essa dúvida;BRA
Zezé Di Camargo e Luciano;3851;NO DIA EM QUE EU SAÍ DE CASA;No dia em que saí de casa;BRA
Zezé Di Camargo e Luciano;3437;O QUE É QUE A GENTE NÃO FAZ POR AMOR;Ela já chega bem cedo...;BRA
Zezé Di Camargo e Luciano;3203;PÃO DE MEL;Você é minha luz estrada meu caminho;BRA
Zezé Di Camargo e Luciano;4289;PARE;Pare até quando você quer;BRA
Zezé Di Camargo e Luciano;3590;POR AMOR TE DEIXO IR;Pode ir, não impeço sua viagem;BRA
Zezé Di Camargo e Luciano;6586;PRECISO DE UM TEMPO;Sei que sou assim intransigente e complicado;BRA
Zezé Di Camargo e Luciano;3591;PRECISO SER AMADO;Não preciso de amor eu preciso é ser;BRA
Zezé Di Camargo e Luciano;3768;RÉDEAS DO POSSANTE;Cada palmo dessa estrada eu conheço;BRA
Zezé Di Camargo e Luciano;3386;SALVA MEU CORAÇÃO;Sou louco pelo mel da sua boca;BRA
Zezé Di Camargo e Luciano;3250;SAUDADE BANDIDA;Outra vez meu coração te procura;BRA
Zezé Di Camargo e Luciano;3773;SAUDADE DOS BEATLES;Às vezes volto no tempo numa viagem do meu;BRA
Zezé Di Camargo e Luciano;3539;SEM MEDO DE SER FELIZ;Tira essa paixão da cabeça;BRA
Zezé Di Camargo e Luciano;4373;SERÁ QUE FOI SAUDADE;Diga logo o que te trouxe aqui;BRA
Zezé Di Camargo e Luciano;6553;SUFOCADO (DROWNING);Pra que fingir que sofre eu sei que não;BRA
Zezé Di Camargo e Luciano;3819;TOMA JUÍZO;Hoje estou aqui vim falar de mim;BRA
Zezé Di Camargo e Luciano;3859;VEM CUIDAR DE MIM;Eu já fiz de tudo pra não te perder;BRA
Zezé Di Camargo e Luciano;3940;VIVENDO POR VIVER;Sem motivo vou vivendo por aí;BRA
Zezé Di Camargo e Luciano;3294;VOCÊ VAI VER;Você pode encontrar muitos amores;BRA
Zizi Possi;3020;ASA MORENA;Me faz pequena asa morena;BRA
Zizi Possi;3173;NOITE;Eu fico quieta num canto;BRA
Zizi Possi;3892;PER AMORE;Io conosco la tua estrada;ITA
Zizi Possi;3214;PERIGO;Nem quero saber se o clima...;BRA
Zucchero;4766;SENZA UNA DONNA;I change my world I wanna change my;EUA
